TPS6215x,,,
,,,
Pin,Type,Name,Side
1,out,SW,right
2,passive,SW,right
3,passive,SW,right
14,in,VOS,right
4,out,PG,right
5,in,FB,right
6,gnd,AGND,right
15,gnd,PGND,right
16,gnd,PGND,right
11,in,PVIN,left
12,in,PVIN,left
10,in,AVIN,left
13,in,EN,left
9,in,SS/TR,left
7,in,FSW,left
8,in,DEF,left
