E38,EF,E38,passive,left
E39,EF,E39,passive,left
E40,EF,E40,passive,left
F01,EF,F01,passive,right
F02,EF,F02,passive,right
F03,EF,F03,passive,right
F04,EF,F04,passive,right
F05,EF,F05,passive,right
F06,EF,F06,passive,right
F07,EF,F07,passive,right
F08,EF,F08,passive,right
F09,EF,F09,passive,right
F10,EF,F10,passive,right
F11,EF,F11,passive,right
F12,EF,F12,passive,right
F13,EF,F13,passive,right
F14,EF,F14,passive,right
F15,EF,F15,passive,right
F16,EF,F16,passive,right
F17,EF,F17,passive,right
F18,EF,F18,passive,right
F19,EF,F19,passive,right
F20,EF,F20,passive,right
F21,EF,F21,passive,right
F22,EF,F22,passive,right
F23,EF,F23,passive,right
F24,EF,F24,passive,right
F25,EF,F25,passive,right
F26,EF,F26,passive,right
F27,EF,F27,passive,right
F28,EF,F28,passive,right
F29,EF,F29,passive,right
F30,EF,F30,passive,right
F31,EF,F31,passive,right
F32,EF,F32,passive,right
F33,EF,F33,passive,right
F34,EF,F34,passive,right
F35,EF,F35,passive,right
F36,EF,F36,passive,right
F37,EF,F37,passive,right
F38,EF,F38,passive,right
F39,EF,F39,passive,right
F40,EF,F40,passive,right
G01,GH,G01,passive,left
G02,GH,G02,passive,left
G03,GH,G03,passive,left
G04,GH,G04,passive,left
G05,GH,G05,passive,left
G06,GH,G06,passive,left
G07,GH,G07,passive,left
G08,GH,G08,passive,left
G09,GH,G09,passive,left
G10,GH,G10,passive,left
G11,GH,G11,passive,left
G12,GH,G12,passive,left
G13,GH,G13,passive,left
G14,GH,G14,passive,left
G15,GH,G15,passive,left
G16,GH,G16,passive,left
G17,GH,G17,passive,left
G18,GH,G18,passive,left
G19,GH,G19,passive,left
G20,GH,G20,passive,left
G21,GH,G21,passive,left
G22,GH,G22,passive,left
G23,GH,G23,passive,left
G24,GH,G24,passive,left
G25,GH,G25,passive,left
G26,GH,G26,passive,left
G27,GH,G27,passive,left
G28,GH,G28,passive,left
G29,GH,G29,passive,left
G30,GH,G30,passive,left
G31,GH,G31,passive,left
G32,GH,G32,passive,left
G33,GH,G33,passive,left
G34,GH,G34,passive,left
G35,GH,G35,passive,left
G36,GH,G36,passive,left
G37,GH,G37,passive,left
G38,GH,G38,passive,left
G39,GH,G39,passive,left
G40,GH,G40,passive,left
H01,GH,H01,passive,right
H02,GH,H02,passive,right
H03,GH,H03,passive,right
H04,GH,H04,passive,right
H05,GH,H05,passive,right
H06,GH,H06,passive,right
